timestep_time;vehicle_angle;vehicle_id;vehicle_lane;vehicle_pos;vehicle_slope;vehicle_speed;vehicle_type;vehicle_x;vehicle_y
67.00;34.813499;flow_2.1;:junc_01_18_0;10.476604;0.000000;5.288397;vehDist74;13.416567;52.521779
68.00;274.813499;flow_2.0;:junc_01_9_0;19.219150;0.000000;0.000000;vehDist71;13.416839;52.522087
68.00;34.813499;flow_2.1;:junc_01_18_0;15.762557;0.000000;5.288397;vehDist74;13.416608;52.521820
69.00;274.813499;flow_2.0;:junc_01_9_0;19.219150;0.000000;0.000000;vehDist71;13.416839;52.522087
69.00;34.813499;flow_2.1;:junc_01_18_0;21.038362;0.000000;5.288397;vehDist74;13.416649;52.521860
70.00;274.813499;flow_2.0;:junc_01_9_0;19.219150;0.000000;0.000000;vehDist71;13.416839;52.522087
70.00;34.813499;flow_2.1;:junc_01_18_0;26.058629;0.000000;4.788397;vehDist74;13.416684;52.521900
71.00;274.813499;flow_2.0;:junc_01_9_0;19.219150;0.000000;0.000000;vehDist71;13.416839;52.522087
71.00;34.813499;flow_2.1;:junc_01_18_0;30.580696;0.000000;4.288397;vehDist74;13.416716;52.521936
72.00;274.813499;flow_2.0;:junc_01_9_0;19.219150;0.000000;0.000000;vehDist71;13.416839;52.522087
72.00;34.813499;flow_2.1;:junc_01_18_0;34.604561;0.000000;3.788397;vehDist74;13.416745;52.521967
73.00;274.813499;flow_2.0;:junc_01_9_0;19.219150;0.000000;0.000000;vehDist71;13.416839;52.522087
73.00;19.813499;flow_2.1;:junc_01_18_0;38.108916;0.000000;3.288397;vehDist74;13.416768;52.521995
74.00;274.813499;flow_2.0;:junc_01_9_0;19.219150;0.000000;0.000000;vehDist71;13.416839;52.522087
74.00;19.813499;flow_2.1;:junc_01_18_0;41.364993;0.000000;3.288397;vehDist74;13.416790;52.522021
75.00;274.813499;flow_2.0;:junc_01_9_0;19.219150;0.000000;0.000000;vehDist71;13.416839;52.522087
75.00;19.813499;flow_2.1;:junc_01_18_0;44.125984;0.000000;2.288397;vehDist74;13.416808;52.522044
76.00;274.813499;flow_2.0;:junc_01_9_0;19.219150;0.000000;0.000000;vehDist71;13.416839;52.522087
76.00;19.813499;flow_2.1;:junc_01_18_0;46.144347;0.000000;1.788397;vehDist74;13.416821;52.522060
77.00;274.813499;flow_2.0;:junc_01_9_0;19.219150;0.000000;0.000000;vehDist71;13.416839;52.522087
